iteracion,trabajoMinimo,trabajoMaximo,trabajoPromedio,desbalance,solicitudesRemotas,bytesComunicados
205,1602978,1602978,1602978.000,1.000000000,0,0
206,1602978,1602978,1602978.000,1.000000000,0,0
207,1602978,1602978,1602978.000,1.000000000,0,0
208,1602978,1602978,1602978.000,1.000000000,0,0
209,1602978,1602978,1602978.000,1.000000000,0,0
210,1602978,1602978,1602978.000,1.000000000,0,0
211,1602978,1602978,1602978.000,1.000000000,0,0
212,1602978,1602978,1602978.000,1.000000000,0,0
213,1602978,1602978,1602978.000,1.000000000,0,0
214,1602978,1602978,1602978.000,1.000000000,0,0
215,1602978,1602978,1602978.000,1.000000000,0,0
216,1602978,1602978,1602978.000,1.000000000,0,0
217,1602978,1602978,1602978.000,1.000000000,0,0
218,1602978,1602978,1602978.000,1.000000000,0,0
219,1602978,1602978,1602978.000,1.000000000,0,0
220,1602978,1602978,1602978.000,1.000000000,0,0
221,1602978,1602978,1602978.000,1.000000000,0,0
222,1602978,1602978,1602978.000,1.000000000,0,0
223,1602978,1602978,1602978.000,1.000000000,0,0
224,1602978,1602978,1602978.000,1.000000000,0,0
225,1602978,1602978,1602978.000,1.000000000,0,0
226,1602978,1602978,1602978.000,1.000000000,0,0
227,1602978,1602978,1602978.000,1.000000000,0,0
228,1602978,1602978,1602978.000,1.000000000,0,0
229,1602978,1602978,1602978.000,1.000000000,0,0
230,1602978,1602978,1602978.000,1.000000000,0,0
231,1602978,1602978,1602978.000,1.000000000,0,0
232,1602978,1602978,1602978.000,1.000000000,0,0
233,1602978,1602978,1602978.000,1.000000000,0,0
234,1602978,1602978,1602978.000,1.000000000,0,0
235,1602978,1602978,1602978.000,1.000000000,0,0
236,1602978,1602978,1602978.000,1.000000000,0,0
237,1602978,1602978,1602978.000,1.000000000,0,0
238,1602978,1602978,1602978.000,1.000000000,0,0
239,1602978,1602978,1602978.000,1.000000000,0,0
240,1602978,1602978,1602978.000,1.000000000,0,0
