iteracion,segundos,preparacion,indices,busqueda,comunicacion,consolidacion
128,4.099531595,1.724955493,2.101904762,0.067573169,0.017322997,0.182684761
129,4.083566403,1.735312668,2.075571728,0.067815048,0.016788968,0.182085819
130,4.070839747,1.719791566,2.078186888,0.068415175,0.016962175,0.182022777
131,4.089251015,1.740135749,2.075594763,0.068634982,0.016809574,0.182743569
132,4.075804426,1.726366921,2.075756180,0.068626909,0.016928645,0.182500169
133,4.086425654,1.736942560,2.076338712,0.068815616,0.016677451,0.182358976
134,4.069641688,1.719288331,2.078850541,0.067280751,0.016717781,0.182158223
135,4.076808021,1.726793653,2.076078917,0.069693924,0.016689134,0.182627854
136,4.067096151,1.714193332,2.080042113,0.068390562,0.017537567,0.182449785
137,4.064030607,1.715384734,2.076229307,0.067706088,0.016743591,0.182446253
138,4.077432250,1.726065849,2.075418179,0.072058723,0.016577073,0.182371921
139,4.093806638,1.726209918,2.076084579,0.067655305,0.017754625,0.200705345
140,4.073578424,1.723948625,2.076524110,0.067802141,0.016963755,0.182712830
141,4.069554159,1.718904420,2.075949000,0.070195309,0.016818311,0.182338919
142,4.081534201,1.731067257,2.078351371,0.067670778,0.017428937,0.182183113
143,4.073584875,1.722238391,2.077903726,0.069386226,0.016605140,0.182468216
144,4.097073809,1.748496496,2.076939052,0.067370502,0.016834648,0.182019013
145,4.087374389,1.736330398,2.078190800,0.067635233,0.017151526,0.183123290
146,4.089177109,1.740652818,2.075970845,0.067982965,0.016807782,0.182406358
147,4.070087410,1.716279115,2.077688854,0.071898112,0.016844224,0.182396992
148,4.067697101,1.715158024,2.076243415,0.071766337,0.016780565,0.182374960
149,4.084728263,1.731064573,2.079352982,0.069906922,0.016774663,0.182520721
150,4.077334038,1.724521744,2.078149514,0.067810281,0.017209150,0.184270221
151,4.085988723,1.718411801,2.075401736,0.067834998,0.017273722,0.200653015
152,4.070391333,1.718079298,2.077082823,0.067703419,0.017312895,0.184281802
153,4.080453968,1.732513846,2.075290907,0.067556938,0.017397334,0.182335956
154,4.082187942,1.731023420,2.078984936,0.067797006,0.017373755,0.182378618
155,4.076812784,1.725819479,2.076521024,0.069458964,0.016859432,0.182484817
156,4.070738951,1.720969878,2.075924337,0.068883586,0.016772992,0.182326579
157,4.071807386,1.721832366,2.078519624,0.067558755,0.016669984,0.182261707
158,4.080941682,1.725687118,2.080801585,0.067783225,0.017360527,0.183777512
